"cnr_number","order_date","order_details","is_final_judgement"
"HCBM020164382005","2005-10-20","https://tinyurl.com/2ah9h25w",NULL
"HCBM020211042008","2008-11-17","https://tinyurl.com/2cqx3fw4",NULL
"HCBM020205962010","2012-04-20","https://tinyurl.com/2cujw9k2",NULL
"HCBM020131972014","2018-06-29","https://tinyurl.com/25hoxjo3",NULL
"HCBM020079492008","2008-04-01","https://tinyurl.com/27ub3ftt",NULL
"HCBM020229692008","2011-07-14","https://tinyurl.com/233kjlsu",NULL
"HCBM020254212009","2009-11-12","https://tinyurl.com/26bkwx6h",NULL
"HCBM020132272014","2015-08-10","https://tinyurl.com/2afdvxov",NULL
"HCBM020258452015","2018-12-12","https://tinyurl.com/2ytcwdfm",NULL
"HCBM020141742014","2014-08-07","https://tinyurl.com/22uraccv",NULL
"HCBM020282352016","2017-12-11","https://tinyurl.com/25sgfmdp",NULL
"HCBM020247622004","2005-02-14","https://tinyurl.com/245wyyrm",NULL
"HCBM020081722008","2008-05-06","https://tinyurl.com/2yhdptsb",NULL
"HCBM020084692010","2024-04-22","https://tinyurl.com/2xrh27zl",NULL
"HCBM020243782004","2005-06-22","https://tinyurl.com/275y55zj",NULL
"HCBM020282332007","2008-03-13","https://tinyurl.com/2ay3jnt7",NULL
"HCBM020180282005","2007-08-08","https://tinyurl.com/2xwwx8wk",NULL
"HCBM020231092008","2009-03-04","https://tinyurl.com/2xubv4a6",NULL
"HCBM020183352010","2010-08-24","https://tinyurl.com/2xzqlgfs",NULL
"HCBM020188062005","2005-12-12","https://tinyurl.com/2acwuu28",NULL
"HCBM020231862008","2009-03-25","https://tinyurl.com/2atjrh4z",NULL
"HCBM020231242009","2015-03-10","https://tinyurl.com/2cr6og25",NULL
"HCBM020229172016","2016-09-08","https://tinyurl.com/2da273fa",NULL
"HCBM020072072008","2008-07-23","https://tinyurl.com/284kjv64",NULL
"HCBM020189192010","2010-10-18","https://tinyurl.com/25k93g34",NULL
"HCBM020071642010","2024-07-16","https://tinyurl.com/2c8b9yor",NULL
"HCBM020134502015","2015-05-08","https://tinyurl.com/22567jps",NULL
"HCBM020054312005","2005-03-31","https://tinyurl.com/2dxkf3w9",NULL
"HCBM020081662008","2009-03-31","https://tinyurl.com/23wezn2w",NULL
"HCBM020055142005","2005-03-17","https://tinyurl.com/25vdgaxh",NULL
"HCBM020082462008","2008-06-20","https://tinyurl.com/29peynkw",NULL
"HCBM020258842008","2009-01-27","https://tinyurl.com/2cl94oxm",NULL
"HCBM020255102009","2009-11-16","https://tinyurl.com/22cwm7op",NULL
"HCBM020190912005","2006-11-07","https://tinyurl.com/298jk5wv",NULL
"HCBM020231642008","2008-10-08","https://tinyurl.com/24sydg2s",NULL
"HCBM020138902014","2017-06-07","https://tinyurl.com/2ytaftau",NULL
"HCBM020135252015","2015-09-30","https://tinyurl.com/2af457tm",NULL
"HCBM020231082016","2016-10-05","https://tinyurl.com/22ovs9ak",NULL
"HCBM020275632015","2016-04-22","https://tinyurl.com/23q28klc",NULL
"HCBM020255162009","2009-12-07","https://tinyurl.com/29puaajl",NULL
"HCBM020141252014","2016-10-01","https://tinyurl.com/28s5ueat",NULL
"HCBM020134312015","2017-06-19","https://tinyurl.com/27e4c9rj",NULL
"HCBM020013552015","2015-07-01","https://tinyurl.com/22n3qkg2",NULL
"HCBM020140222014","2018-07-11","https://tinyurl.com/25yzs58r",NULL
"HCBM020205772010","2011-08-30","https://tinyurl.com/28zxtsnz",NULL
"DLHC010199182024","2024-04-15","https://tinyurl.com/26a5d3vx",NULL
"HCBM020054942005","2005-09-20","https://tinyurl.com/2d2p6cbn",NULL
"DLHC010281972024","2024-05-14","https://tinyurl.com/28y5v8vg",NULL
"HCBM020203442010","2011-07-01","https://tinyurl.com/2xu6gyhm",NULL
"HCBM020055492005","2005-03-30","https://tinyurl.com/26yo4d39",NULL
"HCBM020069452008","2014-08-22","https://tinyurl.com/2czu8pcj",NULL
"HCBM020025762005","2006-07-07","https://tinyurl.com/26jxclw2",NULL
"HCBM020223982005","2024-08-16","https://tinyurl.com/23u34put",NULL
"HCBM020069562008","2014-08-22","https://tinyurl.com/223cqymq",NULL
